"city","lat","lng","country"
"Toronto","43.7000","-79.4200","Canada"
"Singapore","1.2930","103.8558","Singapore"
"Luanda","-8.8383","13.2344","Angola"
"Baghdad","33.3386","44.3939","Iraq"
"Barcelona","41.3833","2.1834","Spain"
"Hāora","22.5804","88.3299","India"
"Shenyang","41.8050","123.4500","China"
"Khartoum","15.5881","32.5342","Sudan"
"Pune","18.5300","73.8500","India"
"Boston","42.3188","-71.0846","United States"
"Sydney","-33.9200","151.1852","Australia"
"Saint Petersburg","59.9390","30.3160","Russia"
"Chittagong","22.3300","91.8000","Bangladesh"
"Dongguan","23.0489","113.7447","China"
"Riyadh","24.6408","46.7727","Saudi Arabia"
"Hanoi","21.0333","105.8500","Vietnam"
"Guadalajara","20.6700","-103.3300","Mexico"
"Melbourne","-37.8200","144.9750","Australia"
"Alexandria","31.2000","29.9500","Egypt"
"Chengdu","30.6700","104.0700","China"
"Rangoon","16.7834","96.1667","Burma"
"Phoenix","33.5722","-112.0891","United States"
"Xi’an","34.2750","108.8950","China"
"Porto Alegre","-30.0500","-51.2000","Brazil"
"Sūrat","21.2000","72.8400","India"
"Hechi","23.0965","109.6091","China"
"Abidjan","5.3200","-4.0400","Côte D’Ivoire"
"Brasília","-15.7833","-47.9161","Brazil"
"Ankara","39.9272","32.8644","Turkey"
"Monterrey","25.6700","-100.3300","Mexico"
"Yokohama","35.3200","139.5800","Japan"
"Nanjing","32.0500","118.7800","China"
"Montréal","45.5000","-73.5833","Canada"
"Guiyang","26.5800","106.7200","China"
"Recife","-8.0756","-34.9156","Brazil"
"Seattle","47.6211","-122.3244","United States"
"Harbin","45.7500","126.6500","China"
"San Francisco","37.7562","-122.4430","United States"
"Fortaleza","-3.7500","-38.5800","Brazil"
"Zhangzhou","24.5204","117.6700","China"
"Detroit","42.3834","-83.1024","United States"
"Salvador","-12.9700","-38.4800","Brazil"
"Busan","35.0951","129.0100","Korea, South"
"Johannesburg","-26.1700","28.0300","South Africa"
"Berlin","52.5218","13.4015","Germany"
"Algiers","36.7631","3.0506","Algeria"
"Rome","41.8960","12.4833","Italy"
"Pyongyang","39.0194","125.7547","Korea, North"
"Medellín","6.2750","-75.5750","Colombia"
"Kabul","34.5167","69.1833","Afghanistan"
"Athens","37.9833","23.7333","Greece"
"Nagoya","35.1550","136.9150","Japan"
"Cape Town","-33.9200","18.4350","South Africa"
"San Diego","32.8312","-117.1225","United States"
"Changchun","43.8650","125.3400","China"
"Casablanca","33.6000","-7.6164","Morocco"
"Dalian","38.9228","121.6298","China"
"Cawnpore","26.4600","80.3200","India"
"Kano","12.0000","8.5200","Nigeria"
"Tel Aviv-Yafo","32.0800","34.7700","Israel"
"Addis Ababa","9.0333","38.7000","Ethiopia"
"Curitiba","-25.4200","-49.3200","Brazil"
"Zibo","36.8000","118.0500","China"
"Jeddah","21.5169","39.2192","Saudi Arabia"
"Nairobi","-1.2833","36.8167","Kenya"
"Hangzhou","30.2500","120.1700","China"
"Benoni","-26.1496","28.3299","South Africa"
"Caracas","10.5010","-66.9170","Venezuela"
"Milan","45.4700","9.2050","Italy"
"Stuttgart","48.7800","9.2000","Germany"
"Kunming","25.0700","102.6800","China"
"Dar es Salaam","-6.8000","39.2683","Tanzania"
"Minneapolis","44.9635","-93.2678","United States"
"Jaipur","26.9211","75.8100","India"
"Taiyuan","37.8750","112.5451","China"
"Frankfurt","50.1000","8.6750","Germany"
"Qingdao","36.0900","120.3300","China"
"Surabaya","-7.2492","112.7508","Indonesia"
"Lisbon","38.7227","-9.1449","Portugal"
"Tampa","27.9942","-82.4451","United States"
"Jinan","36.6750","116.9950","China"
"Fukuoka","33.5950","130.4100","Japan"
"Campinas","-22.9000","-47.1000","Brazil"
"Denver","39.7621","-104.8759","United States"
"Kaohsiung","22.6333","120.2666","Taiwan"
"Quezon City","14.6504","121.0300","Philippines"
"Katowice","50.2604","19.0200","Poland"
"Aleppo","36.2300","37.1700","Syria"
"Durban","-29.8650","30.9800","South Africa"
"Kyiv","50.4334","30.5166","Ukraine"
"Lucknow","26.8550","80.9150","India"
"Giza","30.0100","31.1900","Egypt"
"Zhengzhou","34.7550","113.6651","China"
"Taichung","24.1521","120.6817","Taiwan"
"Brooklyn","40.6501","-73.9496","United States"
"Ibadan","7.3800","3.9300","Nigeria"
"Faisalabad","31.4100","73.1100","Pakistan"
"Fuzhou","26.0800","119.3000","China"
"Changsha","28.2000","112.9700","China"
"Dakar","14.7158","-17.4731","Senegal"
"İzmir","38.4361","27.1518","Turkey"
"Xiangtan","27.8504","112.9000","China"
"Lanzhou","36.0560","103.7920","China"
"Incheon","37.4761","126.6422","Korea, South"
"Sapporo","43.0750","141.3400","Japan"
"Xiamen","24.4500","118.0800","China"
"Guayaquil","-2.2200","-79.9200","Ecuador"
"George Town","5.4136","100.3294","Malaysia"
"Mashhad","36.2700","59.5700","Iran"
"Damascus","33.5000","36.3000","Syria"
"Daegu","35.8668","128.6070","Korea, South"
"Nāgpur","21.1700","79.0900","India"
"Lianshan","40.7503","120.8300","China"
"Shijiazhuang","38.0500","114.4800","China"
"Tunis","36.8028","10.1797","Tunisia"
"Vienna","48.2000","16.3666","Austria"
"Jilin","43.8500","126.5500","China"
"Omdurman","15.6167","32.4800","Sudan"
"Bandung","-6.9500","107.5700","Indonesia"
"Bekasi","-6.2173","106.9723","Indonesia"
"Mannheim","49.5004","8.4700","Germany"
"Nanchang","28.6800","115.8800","China"
"Wenzhou","28.0200","120.6501","China"
"Queens","40.7498","-73.7976","United States"
"Vancouver","49.2734","-123.1216","Canada"
"Birmingham","52.4750","-1.9200","United Kingdom"
"Cali","3.4000","-76.5000","Colombia"
"Naples","40.8400","14.2450","Italy"
"Sendai","38.2871","141.0217","Japan"
"Manchester","53.5004","-2.2480","United Kingdom"
"Puebla","19.0500","-98.2000","Mexico"
"Tripoli","32.8925","13.1800","Libya"
"Tashkent","41.3117","69.2949","Uzbekistan"
"Havana","23.1320","-82.3642","Cuba"
"Gaoping","30.7804","106.1300","China"
"Baltimore","39.3051","-76.6144","United States"
"Nanning","22.8200","108.3200","China"
"Belém","-1.4500","-48.4800","Brazil"
"Patna","25.6250","85.1300","India"
"Santo Domingo","18.4701","-69.9001","Dominican Republic"
"Ürümqi","43.8050","87.5750","China"
"Zaozhuang","34.8800","117.5700","China"
"Baku","40.3953","49.8622","Azerbaijan"
"Accra","5.5500","-0.2167","Ghana"
"Yantai","37.5304","121.4000","China"
"Medan","3.5800","98.6500","Indonesia"
"Santa Cruz","-17.7539","-63.2260","Bolivia"
"Tongshan","34.2800","117.1800","China"
"Riverside","33.9381","-117.3948","United States"
"Linyi","35.0800","118.3300","China"
"St. Louis","38.6358","-90.2451","United States"
"Las Vegas","36.2333","-115.2654","United States"
"Maracaibo","10.7300","-71.6600","Venezuela"
"Kuwait City","29.3697","47.9783","Kuwait"
"Ad Dammām","26.4282","50.0997","Saudi Arabia"
"Portland","45.5371","-122.6500","United States"
"Haikou","20.0500","110.3200","China"
"Hiroshima","34.3878","132.4429","Japan"
"Baotou","40.6522","109.8220","China"
"Hefei","31.8500","117.2800","China"
"Indore","22.7151","75.8650","India"
"Goiânia","-16.7200","-49.3000","Brazil"
"Sanaa","15.3547","44.2066","Yemen"
"San Antonio","29.4658","-98.5254","United States"
"Port-au-Prince","18.5410","-72.3360","Haiti"
"Haiphong","20.8300","106.6801","Vietnam"
"Suzhou","33.6361","116.9789","China"
"Nanyang","33.0004","112.5300","China"
"Bucharest","44.4334","26.0999","Romania"
"Ningbo","29.8800","121.5500","China"
"Douala","4.0604","9.7100","Cameroon"
"Tangshan","39.6243","118.1944","China"
"Tainan","23.0000","120.2000","Taiwan"
"Xiping","40.0800","113.3000","China"
"Asunción","-25.2964","-57.6415","Paraguay"
"Saidu Sharif","34.7500","72.3500","Pakistan"
"Brisbane","-27.4550","153.0351","Australia"
"Rawalpindi","33.6000","73.0400","Pakistan"
"Sacramento","38.5667","-121.4683","United States"
"Beirut","33.8720","35.5097","Lebanon"
"San Jose","37.3021","-121.8489","United States"
"Minsk","53.9000","27.5666","Belarus"
"Kyōto","35.0300","135.7500","Japan"
"Barranquilla","10.9600","-74.8000","Colombia"
"Orlando","28.4772","-81.3369","United States"
"Shuyangzha","34.1299","118.7734","China"
"Valencia","10.2300","-67.9800","Venezuela"
"Hamburg","53.5500","10.0000","Germany"
"Vadodara","22.3100","73.1800","India"
"Manaus","-3.1000","-60.0000","Brazil"
"Shangqiu","34.4504","115.6500","China"
"Wuxi","31.5800","120.3000","China"
"Palembang","-2.9800","104.7500","Indonesia"
"Brussels","50.8333","4.3333","Belgium"
"Essen","51.4500","7.0166","Germany"
"Cleveland","41.4767","-81.6805","United States"
"Bhopal","23.2500","77.4100","India"
"Hohhot","40.8200","111.6600","China"
"Pittsburgh","40.4396","-79.9763","United States"
"Luoyang","34.6800","112.4701","China"
"Santos","-23.9537","-46.3329","Brazil"
"Jingling","30.6501","113.1600","China"
"Warsaw","52.2500","21.0000","Poland"
"Rabat","34.0253","-6.8361","Morocco"
"Vitória","-20.3240","-40.3660","Brazil"
"Quito","-0.2150","-78.5001","Ecuador"
"Antananarivo","-18.9166","47.5166","Madagascar"
"Coimbatore","11.0000","76.9500","India"
"Daqing","46.5800","125.0000","China"
"Lu’an","31.7503","116.4800","China"
"Sanzhou","30.8200","108.4000","China"
"Budapest","47.5000","19.0833","Hungary"
"Turin","45.0704","7.6700","Italy"
"Suzhou","31.3005","120.6200","China"
"Ludhiāna","30.9278","75.8723","India"
"Cincinnati","39.1412","-84.5060","United States"
"Kumasi","6.6900","-1.6300","Ghana"
"Manhattan","40.7834","-73.9662","United States"
"Qiqihar","47.3450","123.9900","China"
"Anshan","41.1150","122.9400","China"
"Austin","30.3006","-97.7517","United States"
"Zhongli","24.9650","121.2168","Taiwan"
"Handan","36.5800","114.4800","China"
"Tai’an","36.2000","117.1201","China"
"Eşfahān","32.7000","51.7000","Iran"
"Kansas City","39.1239","-94.5541","United States"
"Yaoundé","3.8667","11.5167","Cameroon"
"Shantou","23.3700","116.6700","China"
"Āgra","27.1704","78.0150","India"
"Zhanjiang","21.2000","110.3800","China"
"La Paz","-16.4980","-68.1500","Bolivia"
"Kalyān","19.2502","73.1602","India"
"Abuja","9.0833","7.5333","Nigeria"
"Harare","-17.8178","31.0447","Zimbabwe"
"Indianapolis","39.7771","-86.1458","United States"
"Xiantao","30.3704","113.4400","China"
"Khulna","22.8400","89.5600","Bangladesh"
"Weifang","36.7204","119.1001","China"
"Tijuana","32.5000","-117.0800","Mexico"
"Santiago","19.5000","-70.6700","Dominican Republic"
"Xinyang","32.1304","114.0700","China"
"Luzhou","28.8800","105.3800","China"
"Perth","-31.9550","115.8400","Australia"
"Toluca","19.3304","-99.6700","Mexico"
"Vishākhapatnam","17.7300","83.3050","India"
"Leeds","53.8300","-1.5800","United Kingdom"
"Kōbe","34.6800","135.1700","Japan"
"Columbus","39.9860","-82.9851","United States"
"Multan","30.2000","71.4550","Pakistan"
"Kochi","10.0150","76.2239","India"
"Montevideo","-34.8580","-56.1711","Uruguay"
"Gujranwala","32.1604","74.1850","Pakistan"
"Niterói","-22.9000","-43.1000","Brazil"
"Ganzhou","25.9200","114.9500","China"
"Florence","43.7800","11.2500","Italy"
"Liuzhou","24.2800","109.2500","China"
"Bamako","12.6500","-8.0000","Mali"
"Conakry","9.5315","-13.6802","Guinea"
"Bursa","40.2000","29.0700","Turkey"
"León de los Aldama","21.1500","-101.7000","Mexico"
"Virginia Beach","36.7335","-76.0435","United States"
"Nāsik","20.0004","73.7800","India"
"Fushun","41.8654","123.8700","China"
"Changde","29.0300","111.6800","China"
"Daejeon","36.3355","127.4250","Korea, South"
"Charlotte","35.2079","-80.8304","United States"
"Phnom Penh","11.5500","104.9166","Cambodia"
"Neijiang","29.5804","105.0500","China"
"Quanzhou","24.9000","118.5800","China"
"Kharkiv","50.0000","36.2500","Ukraine"
"Hyderabad City","25.3800","68.3750","Pakistan"
"Bronx","40.8501","-73.8662","United States"
"Lomé","6.1319","1.2228","Togo"
"Córdoba","-31.4000","-64.1823","Argentina"
"Huainan","32.6300","116.9800","China"
"Doha","25.2866","51.5330","Qatar"
"Kuala Lumpur","3.1667","101.7000","Malaysia"
"Maputo","-25.9553","32.5892","Mozambique"
"Kaduna","10.5200","7.4400","Nigeria"
"Gwangju","35.1710","126.9104","Korea, South"
"Kawanakajima","35.5300","139.7050","Japan"
"San Salvador","13.7100","-89.2030","El Salvador"
"Suining","30.5333","105.5333","China"
"Lyon","45.7700","4.8300","France"
"Karaj","35.8004","50.9700","Iran"
"Kampala","0.3167","32.5833","Uganda"
"Tabrīz","38.0863","46.3012","Iran"
"The Hague","52.0800","4.2700","Netherlands"
"Davao","7.1100","125.6300","Philippines"
"Marseille","43.2900","5.3750","France"
"Meerut","29.0004","77.7000","India"
"Mianyang","31.4700","104.7700","China"
"Semarang","-6.9666","110.4200","Indonesia"
"Farīdābād","28.4333","77.3167","India"
"Novosibirsk","55.0300","82.9600","Russia"
"Mecca","21.4300","39.8200","Saudi Arabia"
"Dubai","25.2300","55.2800","United Arab Emirates"
"Milwaukee","43.0642","-87.9673","United States"
"Auckland","-36.8481","174.7630","New Zealand"
"Ma’anshan","31.7304","118.4800","China"
"Brazzaville","-4.2592","15.2847","Congo (Brazzaville)"
"Yiyang","28.6004","112.3300","China"
"Vārānasi","25.3300","83.0000","India"
"Lubumbashi","-11.6800","27.4800","Congo (Kinshasa)"
"Juárez","31.6904","-106.4900","Mexico"
"Ghāziābād","28.6604","77.4084","India"
"Pretoria","-25.7069","28.2294","South Africa"
"Heze","35.2300","115.4500","China"
"Porto","41.1500","-8.6200","Portugal"
"Āsansol","23.6833","86.9833","India"
"Lusaka","-15.4166","28.2833","Zambia"
"Changzhou","31.7800","119.9700","China"
"Mosul","36.3450","43.1450","Iraq"
"Yekaterinburg","56.8500","60.6000","Russia"
"Peshawar","34.0050","71.5350","Pakistan"
"Mandalay","21.9700","96.0850","Burma"
"Jamshedpur","22.7875","86.1975","India"
"Mbuji-Mayi","-6.1500","23.6000","Congo (Kinshasa)"
"Madura","9.9200","78.1200","India"
"Adana","36.9950","35.3200","Turkey"
"Sheffield","53.3667","-1.5000","United Kingdom"
"Jabalpur","23.1751","79.9551","India"
"San José","9.9350","-84.0841","Costa Rica"
"Panama City","8.9680","-79.5330","Panama"
"Nizhniy Novgorod","56.3330","44.0001","Russia"
"Chifeng","42.2700","118.9500","China"
"Duisburg","51.4300","6.7500","Germany"
"Munich","48.1299","11.5750","Germany"
"Huaiyin","33.5800","119.0300","China"
"Stockholm","59.3508","18.0973","Sweden"
"Makassar","-5.1400","119.4320","Indonesia"
"Rājkot","22.3100","70.8000","India"
"Dhanbād","23.8004","86.4200","India"
"Mudanjiang","44.5750","129.5900","China"
"Geneva","46.2100","6.1400","Switzerland"
"Shīrāz","29.6300","52.5700","Iran"
"Huzhou","30.8704","120.1000","China"
"Beidao","34.6000","105.9200","China"
"Shuangshui","26.5944","104.8333","China"
"Düsseldorf","51.2204","6.7800","Germany"
"Gaozhou","21.9204","110.8700","China"
"Sevilla","37.4050","-5.9800","Spain"
"Amritsar","31.6400","74.8700","India"
"Vila Velha","-20.3676","-40.3180","Brazil"
"Vila Velha","3.2167","-51.2167","Brazil"
"Almaty","43.3250","76.9150","Kazakhstan"
"Providence","41.8230","-71.4187","United States"
"Warangal","18.0100","79.5800","India"
"Rosario","-32.9511","-60.6663","Argentina"
"Allahābād","25.4550","81.8400","India"
"Benin City","6.3405","5.6200","Nigeria"
"Jining","35.4004","116.5500","China"
"Maceió","-9.6200","-35.7300","Brazil"
"Sofia","42.6833","23.3167","Bulgaria"
"Abbottabad","34.1495","73.1995","Pakistan"
"Benghazi","32.1167","20.0667","Libya"
"Cilacap","-7.7188","109.0154","Indonesia"
"Prague","50.0833","14.4660","Czechia"
"Glasgow","55.8744","-4.2507","United Kingdom"
"Leshan","29.5671","103.7333","China"
"Jacksonville","30.3322","-81.6749","United States"
"Ouagadougou","12.3703","-1.5247","Burkina Faso"
"Ottawa","45.4167","-75.7000","Canada"
"Adelaide","-34.9350","138.6000","Australia"
"Shangrao","28.4704","117.9700","China"
"Torreón","25.5701","-103.4200","Mexico"
"Srīnagar","34.1000","74.8150","India"
"Bezwāda","16.5200","80.6300","India"
"Samara","53.1950","50.1513","Russia"
"Omsk","54.9900","73.4000","Russia"
"Newcastle","-32.8453","151.8150","Australia"
"Yulin","22.6300","110.1500","China"
"Namp’o","38.7669","125.4524","Korea, North"
"Xianyang","34.3456","108.7147","China"
"Cagayan de Oro","8.4508","124.6853","Philippines"
"Cần Thơ","10.0500","105.7700","Vietnam"
"Barquisimeto","10.0500","-69.3000","Venezuela"
"Helsinki","60.1756","24.9341","Finland"
"Kazan’","55.7499","49.1263","Russia"
"Aurangābād","19.8957","75.3203","India"
"Calgary","51.0830","-114.0800","Canada"
"Ciudad Nezahualcóyotl","19.4100","-99.0300","Mexico"
"Zürich","47.3800","8.5500","Switzerland"
"Baoding","38.8704","115.4800","China"
"Zigong","29.4000","104.7800","China"
"Sharjah","25.3714","55.4065","United Arab Emirates"
"Yerevan","40.1812","44.5136","Armenia"
"Mogadishu","2.0667","45.3667","Somalia"
"Tbilisi","41.7250","44.7908","Georgia"
"Ankang","32.6800","109.0200","China"
"Huambo","-12.7500","15.7600","Angola"
"Ikare","7.5304","5.7600","Nigeria"
"Belgrade","44.8186","20.4680","Serbia"
"Salt Lake City","40.7774","-111.9300","United States"
"Bhilai","21.2167","81.4333","India"
"Jinhua","29.1200","119.6500","China"
"Chelyabinsk","55.1550","61.4387","Russia"
"Natal","-5.7800","-35.2400","Brazil"
"Dushanbe","38.5600","68.7739","Tajikistan"
"Copenhagen","55.6786","12.5635","Denmark"
"Changwon","35.2191","128.5836","Korea, South"
"Zhuzhou","27.8300","113.1500","China"
"Suwon","37.2578","127.0109","Korea, South"
"Nashville","36.1715","-86.7843","United States"
"Vereeniging","-26.6496","27.9600","South Africa"
"Xiangyang","32.0200","112.1300","China"
"Memphis","35.1046","-89.9773","United States"
"Ulsan","35.5467","129.3170","Korea, South"
"Amman","31.9500","35.9333","Jordan"
"Mizhou","35.9900","119.3801","China"
"Richmond","37.5295","-77.4756","United States"
"Dublin","53.3331","-6.2489","Ireland"
"Edmonton","53.5500","-113.5000","Canada"
"Solāpur","17.6704","75.9000","India"
"Rostov-na-Donu","47.2346","39.7127","Russia"
"Dnipro","48.4800","35.0000","Ukraine"
"Xining","36.6200","101.7700","China"
"Zhangjiakou","40.8300","114.9300","China"
"Lille","50.6500","3.0800","France"
"Ranchi","23.3700","85.3300","India"
"Gaziantep","37.0750","37.3850","Turkey"
"Monrovia","6.3106","-10.8048","Liberia"
"São Luís","-2.5160","-44.2660","Brazil"
"Amsterdam","52.3500","4.9166","Netherlands"
"Jerusalem","31.7784","35.2066","Israel"
"New Orleans","30.0687","-89.9288","United States"
"Guatemala City","14.6211","-90.5270","Guatemala"
"Zhuhai","22.2769","113.5678","China"
"Florianópolis","-27.5800","-48.5200","Brazil"
"Port Elizabeth","-33.9700","25.6000","South Africa"
"Jiamusi","46.8300","130.3500","China"
"Port Harcourt","4.8100","7.0100","Nigeria"
"Raleigh","35.8324","-78.6438","United States"
"Ufa","54.7900","56.0400","Russia"
"Hengyang","26.8800","112.5900","China"
"Benxi","41.3304","123.7500","China"
"Louisville","38.1663","-85.6485","United States"
"Haifa","32.8204","34.9800","Israel"
"Medina","24.5000","39.5800","Saudi Arabia"
"Bucaramanga","7.1301","-73.1259","Colombia"
"Maracay","10.2469","-67.5958","Venezuela"
"Rotterdam","51.9200","4.4800","Netherlands"
"Homs","34.7300","36.7200","Syria"
"Cologne","50.9300","6.9500","Germany"
"Qinhuangdao","39.9304","119.6200","China"
"Fès","34.0546","-5.0004","Morocco"
"N’Djamena","12.1131","15.0491","Chad"
"Tegucigalpa","14.1020","-87.2175","Honduras"
"Kingston","17.9771","-76.7674","Jamaica"
"Nay Pyi Taw","19.7666","96.1186","Burma"
"Djibouti","11.5950","43.1480","Djibouti"
"Managua","12.1530","-86.2685","Nicaragua"
"Niamey","13.5167","2.1167","Niger"
"Tirana","41.3275","19.8189","Albania"
"Kathmandu","27.7167","85.3166","Nepal"
"Ulaanbaatar","47.9167","106.9166","Mongolia"
"Kigali","-1.9536","30.0605","Rwanda"
"Bishkek","42.8731","74.5852","Kyrgyzstan"
"Oslo","59.9167","10.7500","Norway"
"Bangui","4.3666","18.5583","Central African Republic"
"Freetown","8.4700","-13.2342","Sierra Leone"
"Islamabad","33.7000","73.1666","Pakistan"
"Cotonou","6.4000","2.5200","Benin"
"Vientiane","17.9667","102.6000","Laos"
"Riga","56.9500","24.1000","Latvia"
"Nouakchott","18.0864","-15.9753","Mauritania"
"Muscat","23.6133","58.5933","Oman"
"Ashgabat","37.9500","58.3833","Turkmenistan"
"Zagreb","45.8000","16.0000","Croatia"
"Sarajevo","43.8500","18.3830","Bosnia And Herzegovina"
"Chisinau","47.0050","28.8577","Moldova"
"Lilongwe","-13.9833","33.7833","Malawi"
"Asmara","15.3333","38.9333","Eritrea"
"Abu Dhabi","24.4667","54.3666","United Arab Emirates"
"Port Louis","-20.1666","57.5000","Mauritius"
"Libreville","0.3854","9.4580","Gabon"
"Manama","26.2361","50.5831","Bahrain"
"Vilnius","54.6834","25.3166","Lithuania"
"Skopje","42.0000","21.4335","Macedonia"
"Bloemfontein","-29.1200","26.2299","South Africa"
"Bratislava","48.1500","17.1170","Slovakia"
"Bissau","11.8650","-15.5984","Guinea-Bissau"
"Tallinn","59.4339","24.7280","Estonia"
"Wellington","-41.3000","174.7833","New Zealand"
"Valletta","35.8997","14.5147","Malta"
"Maseru","-29.3167","27.4833","Lesotho"
"Nur-Sultan","51.1811","71.4278","Kazakhstan"
"Bujumbura","-3.3761","29.3600","Burundi"
"Canberra","-35.2830","149.1290","Australia"
"New Delhi","28.6000","77.2000","India"
"Ljubljana","46.0553","14.5150","Slovenia"
"Porto-Novo","6.4833","2.6166","Benin"
"Bandar Seri Begawan","4.8833","114.9333","Brunei"
"Port of Spain","10.6520","-61.5170","Trinidad And Tobago"
"Port Moresby","-9.4647","147.1925","Papua New Guinea"
"Bern","46.9167","7.4670","Switzerland"
"Windhoek","-22.5700","17.0835","Namibia"
"Georgetown","6.8020","-58.1670","Guyana"
"Paramaribo","5.8350","-55.1670","Suriname"
"Dili","-8.5594","125.5795","Timor-Leste"
"Nassau","25.0834","-77.3500","Bahamas, The"
"Sucre","-19.0410","-65.2595","Bolivia"
"Nicosia","35.1667","33.3666","Cyprus"
"Dodoma","-6.1833","35.7500","Tanzania"
"Colombo","6.9320","79.8578","Sri Lanka"
"Gaborone","-24.6463","25.9119","Botswana"
"Yamoussoukro","6.8184","-5.2755","Côte D’Ivoire"
"Bridgetown","13.1020","-59.6165","Barbados"
"Suva","-18.1330","178.4417","Fiji"
"Reykjavík","64.1500","-21.9500","Iceland"
"Malabo","3.7500","8.7833","Equatorial Guinea"
"Willemstad","12.2004","-69.0200","Curaçao"
"Podgorica","42.4660","19.2663","Montenegro"
"Moroni","-11.7042","43.2402","Comoros"
"Sri Jayewardenepura Kotte","6.9000","79.9500","Sri Lanka"
"Praia","14.9167","-23.5167","Cabo Verde"
"Male","4.1667","73.4999","Maldives"
"Juba","4.8300","31.5800","South Sudan"
"Luxembourg","49.6117","6.1300","Luxembourg"
"Thimphu","27.4730","89.6390","Bhutan"
"Mbabane","-26.3167","31.1333","Swaziland"
"São Tomé","0.3334","6.7333","Sao Tome And Principe"
"Honiara","-9.4380","159.9498","Solomon Islands"
"Oranjestad","12.5304","-70.0290","Aruba"
"Apia","-13.8415","-171.7386","Samoa"
"Andorra la Vella","42.5000","1.5165","Andorra"
"Kingstown","13.1483","-61.2121","Saint Vincent And The Grenadines"
"Port-Vila","-17.7334","168.3166","Vanuatu"
"Banjul","13.4539","-16.5917","Gambia, The"
"Nuku‘alofa","-21.1385","-175.2206","Tonga"
"Castries","14.0020","-61.0000","Saint Lucia"
"Monaco","43.7396","7.4069","Monaco"
"Vaduz","47.1337","9.5167","Liechtenstein"
"Saint John’s","17.1180","-61.8500","Antigua And Barbuda"
"Saint George’s","12.0526","-61.7416","Grenada"
"Victoria","-4.6166","55.4500","Seychelles"
"San Marino","43.9172","12.4667","San Marino"
"Tarawa","1.3382","173.0176","Kiribati"
"Majuro","7.1030","171.3800","Marshall Islands"
"Roseau","15.3010","-61.3870","Dominica"
"Basseterre","17.3020","-62.7170","Saint Kitts And Nevis"
"Belmopan","17.2520","-88.7671","Belize"
"Pago Pago","-14.2740","-170.7046","American Samoa"
"Lobamba","-26.4667","31.2000","Swaziland"
"Funafuti","-8.5167","179.2166","Tuvalu"
"Palikir","6.9166","158.1500","Micronesia, Federated States Of"
"Capitol Hill","15.2137","145.7546","Northern Mariana Islands"
"Hagåtña","13.4745","144.7504","Guam"
"Al Quds","31.7764","35.2269","West Bank"
"Philipsburg","18.0255","-63.0450","Sint Maarten"
"Gitega","-3.4271","29.9246","Burundi"
"Pristina","42.6666","21.1724","Kosovo"
"Ngerulmud","7.5000","134.6242","Palau"
"Aden","12.7797","45.0095","Yemen"
"Cochabamba","-17.4100","-66.1700","Bolivia"
"Yongzhou","26.2304","111.6200","China"
"Baoshan","25.1200","99.1500","China"
"Quảng Hà","16.0600","108.2500","Vietnam"
